Continent,Region,Country3,Country Code,Year,Criminality Score,Criminal Markets Score,Human trafficking,Human smuggling,Arms trafficking,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drugs trade,Criminal Actors Score,Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,Resilience Score,Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors
Africa,North Africa,Algeria,DZA,2019,4.21,4.30,4.5,5.5,5.0,1.0,4.0,7.0,2.5,3.5,6.0,4.0,4.13,1.0,5.5,6.5,3.5,4.75,6.5,2.5,4.0,7.0,4.0,7.0,7.5,3.0,5.0,3.0,4.0,3.5
Africa,Central Africa,Angola,AGO,2019,4.78,4.55,5.0,2.5,5.5,7.0,4.0,8.5,2.5,4.0,3.5,3.0,5.00,1.0,5.5,8.5,5.0,4.33,6.0,4.5,5.5,5.5,3.5,5.0,6.0,4.0,4.0,2.0,3.0,3.0
Africa,West Africa,Benin,BEN,2019,4.83,5.15,5.0,3.5,3.0,7.0,5.5,7.0,5.0,5.0,3.5,7.0,4.50,1.0,6.5,4.5,6.0,4.33,6.0,4.0,5.0,4.0,3.0,4.0,4.0,5.5,4.0,3.0,2.5,7.0
Africa,Southern Africa,Botswana,BWA,2019,3.34,3.30,3.5,2.0,3.5,3.0,5.0,1.5,3.5,3.5,4.0,3.5,3.38,1.0,4.5,3.0,5.0,6.25,7.0,6.0,7.5,7.0,6.5,6.5,6.5,5.5,5.5,5.5,5.0,6.5
Africa,West Africa,Burkina Faso,BFA,2019,4.98,4.95,5.0,5.0,6.0,3.5,5.0,7.0,4.0,3.5,4.5,6.0,5.00,4.5,5.0,6.5,4.0,3.88,4.0,4.0,5.5,5.5,3.5,3.5,4.0,3.0,3.0,2.5,2.0,6.0
Africa,Central Africa,Burundi,BDI,2019,4.39,4.40,7.5,5.5,7.5,1.5,4.0,5.0,5.0,1.5,4.0,2.5,4.38,1.5,3.5,8.5,4.0,1.88,1.5,1.0,1.0,2.5,2.5,1.5,3.0,3.5,2.0,1.5,1.0,1.5
Africa,West Africa,Cabo Verde,CPV,2019,3.74,3.60,2.5,1.5,2.5,3.0,5.0,1.0,4.5,6.5,5.0,4.5,3.88,3.0,3.5,2.0,7.0,6.54,7.5,6.5,8.0,7.0,7.0,7.0,7.5,6.5,6.0,3.5,6.0,6.0
Africa,Central Africa,Cameroon,CMR,2019,5.98,5.95,6.5,5.5,6.0,7.5,7.5,7.5,4.0,2.0,6.0,7.0,6.00,3.5,7.5,8.0,5.0,3.33,2.5,2.0,5.0,4.5,3.0,4.0,3.0,3.5,3.0,2.5,2.0,5.0
Africa,Central Africa,Central African Republic,CAF,2019,6.86,5.85,7.0,5.0,8.5,6.5,8.0,9.0,3.0,1.5,3.0,7.0,7.88,8.5,8.0,7.5,7.5,1.50,1.5,1.5,4.0,1.5,1.0,1.0,1.0,1.0,1.5,1.0,1.0,2.0
Africa,Central Africa,Chad,TCD,2019,5.84,5.05,6.0,5.0,8.5,1.5,5.0,4.0,3.5,4.0,6.0,7.0,6.63,8.0,6.5,7.0,5.0,2.04,3.0,2.0,2.5,2.5,2.0,1.5,3.5,2.0,2.0,1.0,1.0,1.5
