Continent,Region,Country,Country Code,Year,CRIMINALITY,CRIMINAL MARKETS,Human trafficking,Human smuggling,Arms trafficking,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drug trade,CRIMINAL ACTORS,Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,RESILIENCE,Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors,,
Africa,North Africa,Algeria,DZA,2021,4.51,4.65,4.5,6.5,5.0,2.0,4.5,6.5,2.0,3.5,6.5,5.5,4.38,1.0,5.0,7.0,4.5,4.63,4.5,4.0,5.0,6.0,4.0,6.0,6.5,4.5,4.5,3.0,4.0,3.5,,
Africa,Central Africa,Angola,AGO,2021,5.29,5.20,6.0,4.0,6.0,7.0,4.5,8.5,3.0,6.0,4.5,2.5,5.38,3.0,5.5,8.0,5.0,4.42,5.0,4.5,5.0,5.0,3.5,4.5,6.0,5.0,4.0,4.0,3.5,3.0,,
Africa,West Africa,Benin,BEN,2021,5.25,5.25,6.0,4.0,5.5,6.0,5.5,5.0,4.5,6.0,4.0,6.0,5.25,1.0,6.0,6.0,8.0,3.54,4.0,4.5,4.0,3.0,3.0,4.0,3.5,3.0,4.0,3.0,2.0,4.5,,
Africa,Southern Africa,Botswana,BWA,2021,3.71,3.80,4.5,3.0,3.0,2.0,7.5,3.5,3.5,3.5,4.0,3.5,3.63,1.0,5.5,3.0,5.0,5.63,6.0,5.0,8.0,6.0,6.5,5.0,5.0,4.5,5.5,5.5,4.5,6.0,,
Africa,West Africa,Burkina Faso,BFA,2021,5.49,5.35,6.0,4.0,8.0,4.0,6.0,8.5,4.0,4.0,3.0,6.0,5.63,3.5,6.5,6.5,6.0,3.63,3.5,4.0,5.5,5.0,4.0,3.0,3.0,3.0,3.0,2.5,2.0,5.0,,
Africa,Central Africa,Burundi,BDI,2021,4.51,4.40,8.5,5.5,8.0,2.0,4.5,4.0,3.0,2.5,3.5,2.5,4.63,1.0,4.5,9.0,4.0,2.08,2.5,1.0,1.5,2.5,2.5,1.5,3.0,2.0,2.0,1.5,2.5,2.5,,
Africa,West Africa,Cabo Verde,CPV,2021,4.04,3.70,4.5,2.0,2.5,2.5,4.0,1.0,4.0,7.0,5.0,4.5,4.38,2.5,4.0,4.0,7.0,6.33,6.5,6.0,8.5,7.0,7.0,6.0,7.5,5.0,6.0,3.5,6.0,7.0,,
Africa,Central Africa,Cameroon,CMR,2021,6.31,6.25,6.5,5.5,6.5,7.0,7.5,7.5,4.5,3.5,7.0,7.0,6.38,4.0,7.5,8.0,6.0,3.13,2.0,1.5,5.0,4.5,2.5,4.0,2.0,3.5,2.5,2.5,2.5,5.0,,
Africa,Central Africa,Central African Republic,CAF,2021,7.04,5.70,7.5,4.5,8.5,6.5,8.0,9.0,1.5,1.5,3.0,7.0,8.38,9.0,8.0,8.5,8.0,1.92,1.5,1.5,3.0,2.5,2.0,1.5,1.5,2.0,1.5,3.0,1.0,2.0,,
Africa,Central Africa,Chad,TCD,2021,5.86,5.35,7.0,7.0,8.0,1.5,3.5,7.0,2.0,4.5,6.0,7.0,6.38,5.5,6.5,8.5,5.0,2.46,3.5,2.5,5.0,2.5,2.0,2.5,3.5,2.0,2.0,1.0,1.0,2.0,,
Africa,Southern Africa,Comoros,COM,2021,3.86,3.85,5.0,5.5,3.5,3.0,5.5,1.0,4.0,2.0,3.0,6.0,3.88,1.0,4.5,6.0,4.0,2.38,2.0,2.0,3.0,2.5,2.0,2.0,3.0,4.0,3.0,1.5,1.5,2.0,,
